filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
model_highres_0_normalized.png,9009285,"{}",36,0,"{""name"":""rect"",""x"":616,""y"":665,""width"":18,""height"":21}","{""annotator"":""A2"",""lesion_id"":""10""}"
model_highres_0_normalized.png,9009285,"{}",36,1,"{""name"":""rect"",""x"":527,""y"":1118,""width"":22,""height"":27}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,2,"{""name"":""rect"",""x"":962,""y"":1035,""width"":18,""height"":20}","{""annotator"":""A2"",""lesion_id"":""2""}"
model_highres_0_normalized.png,9009285,"{}",36,3,"{""name"":""rect"",""x"":551,""y"":2145,""width"":22,""height"":17}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,4,"{""name"":""rect"",""x"":962,""y"":3357,""width"":22,""height"":21}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,5,"{""name"":""rect"",""x"":1437,""y"":2807,""width"":23,""height"":24}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,6,"{""name"":""rect"",""x"":1171,""y"":2610,""width"":22,""height"":28}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,7,"{""name"":""rect"",""x"":1566,""y"":2498,""width"":18,""height"":24}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,8,"{""name"":""rect"",""x"":1357,""y"":1894,""width"":23,""height"":22}","{""annotator"":""A2"",""lesion_id"":""6""}"
model_highres_0_normalized.png,9009285,"{}",36,9,"{""name"":""rect"",""x"":1454,""y"":1972,""width"":28,""height"":29}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,10,"{""name"":""rect"",""x"":1939,""y"":1547,""width"":24,""height"":26}","{""annotator"":""A2"",""lesion_id"":""7""}"
model_highres_0_normalized.png,9009285,"{}",36,11,"{""name"":""rect"",""x"":1118,""y"":894,""width"":18,""height"":22}","{""annotator"":""A2"",""lesion_id"":""5""}"
model_highres_0_normalized.png,9009285,"{}",36,12,"{""name"":""rect"",""x"":1570,""y"":400,""width"":26,""height"":25}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,13,"{""name"":""rect"",""x"":2261,""y"":1834,""width"":22,""height"":18}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,14,"{""name"":""rect"",""x"":2112,""y"":2632,""width"":22,""height"":23}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,15,"{""name"":""rect"",""x"":2088,""y"":2672,""width"":23,""height"":25}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,16,"{""name"":""rect"",""x"":2095,""y"":2804,""width"":23,""height"":18}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,17,"{""name"":""rect"",""x"":2771,""y"":3663,""width"":18,""height"":24}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,18,"{""name"":""rect"",""x"":2964,""y"":3473,""width"":22,""height"":21}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,19,"{""name"":""rect"",""x"":2938,""y"":2777,""width"":29,""height"":32}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,20,"{""name"":""rect"",""x"":3717,""y"":2860,""width"":21,""height"":24}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,21,"{""name"":""rect"",""x"":3062,""y"":2471,""width"":20,""height"":20}","{""annotator"":""A2"",""lesion_id"":""9""}"
model_highres_0_normalized.png,9009285,"{}",36,22,"{""name"":""rect"",""x"":3555,""y"":1781,""width"":24,""height"":25}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,23,"{""name"":""rect"",""x"":3693,""y"":637,""width"":22,""height"":25}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,24,"{""name"":""rect"",""x"":548,""y"":607,""width"":12,""height"":16}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,25,"{""name"":""rect"",""x"":549,""y"":764,""width"":17,""height"":19}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,26,"{""name"":""rect"",""x"":3641,""y"":337,""width"":18,""height"":19}","{""annotator"":""A2"",""lesion_id"":""8""}"
model_highres_0_normalized.png,9009285,"{}",36,27,"{""name"":""rect"",""x"":3246,""y"":441,""width"":21,""height"":21}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,28,"{""name"":""rect"",""x"":3713,""y"":148,""width"":21,""height"":22}","{""annotator"":""A2""}"
model_highres_0_normalized.png,9009285,"{}",36,29,"{""name"":""rect"",""x"":734,""y"":554,""width"":27,""height"":24}","{""annotator"":""A4"",""lesion_id"":""1""}"
model_highres_0_normalized.png,9009285,"{}",36,30,"{""name"":""rect"",""x"":865,""y"":457,""width"":24,""height"":20}","{""annotator"":""A4"",""lesion_id"":""3""}"
model_highres_0_normalized.png,9009285,"{}",36,31,"{""name"":""rect"",""x"":391,""y"":870,""width"":21,""height"":20}","{""annotator"":""A4"",""lesion_id"":""4""}"
